Name,Year,Month,Conversations Started,Conversations Received
Camilla,2019,1,0,2
Camilla,2019,2,1,2
Camilla,2019,3,1,2
Camilla,2019,4,2,2
Camilla,2019,5,2,3
Camilla,2019,6,2,2
Camilla,2019,7,2,4
Camilla,2019,8,4,5
Camilla,2019,9,2,7
Camilla,2019,10,3,9
Camilla,2019,11,4,9
Camilla,2019,12,4,11
Camilla,2020,1,4,12
Camilla,2020,2,5,10
Camilla,2020,3,5,14
Camilla,2020,4,5,17
Camilla,2020,5,6,21
Camilla,2020,6,8,18
Camilla,2020,7,10,25
Camilla,2020,8,11,28
Camilla,2020,9,0,0
Camilla,2020,10,0,0
Camilla,2020,11,0,0
Camilla,2020,12,0,0
Janelle,2019,1,2,3
Janelle,2019,2,2,5
Janelle,2019,3,4,4
Janelle,2019,4,3,5
Janelle,2019,5,2,6
Janelle,2019,6,2,6
Janelle,2019,7,4,8
Janelle,2019,8,6,9
Janelle,2019,9,6,6
Janelle,2019,10,4,10
Janelle,2019,11,7,11
Janelle,2019,12,9,15
Janelle,2020,1,9,18
Janelle,2020,2,7,20
Janelle,2020,3,8,15
Janelle,2020,4,9,17
Janelle,2020,5,10,18
Janelle,2020,6,12,20
Janelle,2020,7,13,21
Janelle,2020,8,13,20
Janelle,2020,9,0,0
Janelle,2020,10,0,0
Janelle,2020,11,0,0
Janelle,2020,12,0,0
Katie,2019,1,15,17
Katie,2019,2,0,15
Katie,2019,3,1,14
Katie,2019,4,2,15
Katie,2019,5,1,20
Katie,2019,6,2,15
Katie,2019,7,2,14
Katie,2019,8,2,13
Katie,2019,9,2,11
Katie,2019,10,0,7
Katie,2019,11,0,8
Katie,2019,12,0,10
Katie,2020,1,1,11
Katie,2020,2,0,12
Katie,2020,3,0,11
Katie,2020,4,1,13
Katie,2020,5,0,12
Katie,2020,6,0,14
Katie,2020,7,0,16
Katie,2020,8,0,19
Katie,2020,9,0,0
Katie,2020,10,0,0
Katie,2020,11,0,0
Katie,2020,12,0,0
Demetri,2019,1,5,13
Demetri,2019,2,3,9
Demetri,2019,3,8,8
Demetri,2019,4,10,12
Demetri,2019,5,12,14
Demetri,2019,6,17,15
Demetri,2019,7,20,16
Demetri,2019,8,16,17
Demetri,2019,9,14,18
Demetri,2019,10,15,15
Demetri,2019,11,12,10
Demetri,2019,12,14,9
Demetri,2020,1,9,12
Demetri,2020,2,14,14
Demetri,2020,3,10,17
Demetri,2020,4,11,13
Demetri,2020,5,12,20
Demetri,2020,6,17,14
Demetri,2020,7,14,10
Demetri,2020,8,8,10
Demetri,2020,9,0,0
Demetri,2020,10,0,0
Demetri,2020,11,0,0
Demetri,2020,12,0,0
Laura,2019,1,19,25
Laura,2019,2,16,28
Laura,2019,3,29,27
Laura,2019,4,17,24
Laura,2019,5,19,27
Laura,2019,6,15,18
Laura,2019,7,23,22
Laura,2019,8,17,21
Laura,2019,9,14,20
Laura,2019,10,13,15
Laura,2019,11,12,18
Laura,2019,12,11,16
Laura,2020,1,16,15
Laura,2020,2,18,13
Laura,2020,3,14,12
Laura,2020,4,13,11
Laura,2020,5,9,9
Laura,2020,6,10,8
Laura,2020,7,7,5
Laura,2020,8,4,2
Laura,2020,9,0,0
Laura,2020,10,0,0
Laura,2020,11,0,0
Laura,2020,12,0,0
Adriana,2019,1,2,4
Adriana,2019,2,7,5
Adriana,2019,3,9,4
Adriana,2019,4,6,9
Adriana,2019,5,13,15
Adriana,2019,6,12,13
Adriana,2019,7,12,6
Adriana,2019,8,7,5
Adriana,2019,9,15,4
Adriana,2019,10,7,3
Adriana,2019,11,9,5
Adriana,2019,12,10,8
Adriana,2020,1,11,9
Adriana,2020,2,7,7
Adriana,2020,3,14,14
Adriana,2020,4,16,13
Adriana,2020,5,13,7
Adriana,2020,6,12,6
Adriana,2020,7,9,7
Adriana,2020,8,11,9
Adriana,2020,9,0,0
Adriana,2020,10,0,0
Adriana,2020,11,0,0
Adriana,2020,12,0,0
Pierre,2019,1,5,2
Pierre,2019,2,6,3
Pierre,2019,3,3,5
Pierre,2019,4,5,7
Pierre,2019,5,8,7
Pierre,2019,6,9,8
Pierre,2019,7,13,12
Pierre,2019,8,11,8
Pierre,2019,9,10,6
Pierre,2019,10,7,8
Pierre,2019,11,5,10
Pierre,2019,12,9,9
Pierre,2020,1,8,7
Pierre,2020,2,11,7
Pierre,2020,3,9,6
Pierre,2020,4,7,4
Pierre,2020,5,6,7
Pierre,2020,6,8,5
Pierre,2020,7,8,5
Pierre,2020,8,9,7
Pierre,2020,9,0,0
Pierre,2020,10,0,0
Pierre,2020,11,0,0
Pierre,2020,12,0,0
Holly,2019,1,1,2
Holly,2019,2,2,3
Holly,2019,3,3,2
Holly,2019,4,2,4
Holly,2019,5,1,5
Holly,2019,6,3,3
Holly,2019,7,1,4
Holly,2019,8,1,3
Holly,2019,9,2,2
Holly,2019,10,3,2
Holly,2019,11,2,2
Holly,2019,12,3,1
Holly,2020,1,2,4
Holly,2020,2,1,2
Holly,2020,3,1,1
Holly,2020,4,1,1
Holly,2020,5,0,1
Holly,2020,6,0,1
Holly,2020,7,0,1
Holly,2020,8,0,1
Holly,2020,9,0,0
Holly,2020,10,0,0
Holly,2020,11,0,0
Holly,2020,12,0,0
